,Category,Rating,Reviews,Type,Price,Content Rating,Android Ver,Update Days,Influence,Installs
2119,FAMILY,4.3,1329192.0,0,0.0,Everyone,2,487.0,15.55869681948614,50000000.0
2121,FAMILY,4.2,41273.0,0,0.0,Everyone,4,213.0,12.06304833742212,5000000.0
2122,FAMILY,4.5,278.0,0,0.0,Everyone,4,207.0,7.1316985104669115,100000.0
2125,FAMILY,4.5,514088.0,0,0.0,Everyone,4,249.0,14.654227132785143,10000000.0
2126,FAMILY,4.1,41867.0,0,0.0,Everyone,2,626.0,12.053240179810132,1000000.0
2127,FAMILY,4.5,1014846.0,0,0.0,Everyone,4,584.0,15.334324831585096,50000000.0
2128,FAMILY,4.2,23060.0,0,0.0,Everyone,4,192.0,11.480939319112373,1000000.0
2129,FAMILY,4.4,112080.0,0,0.0,Everyone,4,192.0,13.108572721935104,10000000.0
2130,FAMILY,4.0,15489.0,0,0.0,Everyone,4,480.0,11.03417973466765,1000000.0
2131,FAMILY,4.1,51895.0,0,0.0,Everyone,4,232.0,12.267964699109651,10000000.0
2134,FAMILY,4.4,623398.0,0,0.0,Everyone,4,521.0,14.824544979021418,10000000.0
2136,FAMILY,4.1,66661.0,0,0.0,Everyone,4,366.0,12.518362326959622,5000000.0
2137,FAMILY,4.0,10447.0,0,0.0,Everyone,2,1081.0,10.640364495957398,1000000.0
2139,FAMILY,4.6,19170.0,0,0.0,Everyone,4,690.0,11.387158139534739,1000000.0
2140,FAMILY,4.3,169609.0,0,0.0,Everyone,4,235.0,13.49986608966924,10000000.0
2141,FAMILY,4.7,6188.0,0,0.0,Everyone 10+,4,306.0,10.27792972040897,500000.0
2142,FAMILY,4.3,1369.0,0,0.0,Everyone,2,1065.0,8.680450847987965,500000.0
2143,FAMILY,4.4,2952.0,0,0.0,Everyone,5,229.0,9.471842726644578,500000.0
2144,FAMILY,4.2,731.0,0,0.0,Everyone,4,190.0,8.029497985039102,100000.0
2145,FAMILY,4.7,9856.0,0,0.0,Everyone,4,1097.0,10.743398194489314,100000.0
2146,FAMILY,3.9,10753.0,0,0.0,Everyone,4,195.0,10.643916617526127,1000000.0
2147,FAMILY,4.1,154.0,0,0.0,Everyone,4,751.0,6.447939576123892,10000.0
2149,FAMILY,4.1,4522.0,0,0.0,Everyone,4,227.0,9.827696626548176,500000.0
2150,FAMILY,4.2,3328.0,1,3.99,Everyone,V,570.0,9.545211327230422,100000.0
2151,FAMILY,4.7,31100.0,1,3.99,Everyone,4,212.0,11.89252560688334,500000.0
2152,FAMILY,4.4,854.0,1,4.99,Everyone,4,1160.0,8.231535734712786,10000.0
2153,FAMILY,4.3,560.0,1,3.99,Everyone,2,1327.0,7.786551806428712,10000.0
2154,FAMILY,4.5,197.0,1,2.99,Everyone,2,682.0,6.787281125514262,1000.0
2155,FAMILY,4.3,63186.0,0,0.0,Everyone,4,206.0,12.51245305930817,10000000.0
2156,FAMILY,4.3,23772.0,0,0.0,Everyone,2,550.0,11.534878719186068,5000000.0
2157,FAMILY,4.1,6007.0,0,0.0,Everyone,2,580.0,10.111667708560423,1000000.0
2158,FAMILY,4.1,2903.0,0,0.0,Everyone,4,213.0,9.384486937734891,1000000.0
2159,FAMILY,4.1,3617.0,0,0.0,Everyone,4,194.0,9.60438720566236,1000000.0
2160,FAMILY,4.6,3063.0,0,0.0,Everyone,3,255.0,9.553206410327824,100000.0
2161,FAMILY,4.1,3234.0,0,0.0,Everyone,4,264.0,9.492462013847314,100000.0
2162,FAMILY,4.4,276.0,0,0.0,Everyone,2,509.0,7.102005406641365,50000.0
2163,FAMILY,4.4,1595.0,0,0.0,Everyone,4,214.0,8.856233556143161,500000.0
2164,FAMILY,4.3,879.0,0,0.0,Everyone,4,257.0,8.237399920384693,100000.0
2165,FAMILY,4.0,68559.0,0,0.0,Everyone,4,187.0,12.521744328520885,5000000.0
2166,FAMILY,4.8,61.0,0,0.0,Everyone,4,738.0,5.679489782087156,1000.0
2167,FAMILY,3.8,1123.0,0,0.0,Everyone,2,878.0,8.358760021470783,100000.0
2168,FAMILY,4.7,30.0,1,7.49,Everyone,V,263.0,4.948759890378168,1000.0
2169,FAMILY,4.5,566.0,0,0.0,Everyone,4,235.0,7.842671474979457,50000.0
2170,FAMILY,4.8,97.0,1,2.99,Everyone,4,310.0,6.143326896417228,1000.0
2171,FAMILY,4.4,38.0,1,0.99,Everyone,4,234.0,5.119190700650601,100.0
2172,FAMILY,4.8,4.0,1,0.99,Everyone,5,1249.0,2.954910279033736,100.0
2173,FAMILY,4.2,38.0,1,0.99,Everyone,2,1542.0,5.072670685015709,1000.0
2174,FAMILY,4.2,214.0,1,4.99,Everyone,4,417.0,6.801060540311174,5000.0
2175,FAMILY,4.0,248.0,1,2.99,Everyone,4,194.0,6.899723107284872,5000.0
